"""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""linksys""
00:25:9C:98:4B:7D","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab ERNC""
00:90:4C:91:00:03","""Vibraciones""
50:C7:BF:DD:C3:B3","""Baxter""
EC:22:80:F3:EB:EA","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Docentes FI""
0E:18:D6:CB:01:A4","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Comunicaciones FP 2,4""
14:91:82:30:FD:F6"
-65,-77,-77,-71,-70,-70,-77,-54,-74,-78,-79,-75,-78,-86,-72,-79
-65,-77,-77,-71,-70,-70,-77,-53,-74,-77,-78,-76,-78,-85,-73,-79
-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-75,-78,-85,-72,-79
-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-76,-78,-83,-71,-79
-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71,-79
-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71,-79
-65,-77,-77,-71,-70,-70,-77,-52,-74,-78,-77,-77,-78,-81,-71,-79
-65,-77,-77,-71,-71,-70,-77,-52,-75,-77,-77,-76,-78,-81,-71,-79
-65,-77,-77,-71,-71,-70,-77,-52,-74,-77,-77,-76,-78,-81,-71,-81
-65,-77,-77,-71,-71,-70,-77,-52,-73,-77,-77,-75,-78,-81,-71,-81
-65,-77,-77,-70,-74,-70,-77,-52,-73,-78,-77,-75,-78,-81,-71,-81
-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-71,-81
-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70,-81
-65,-78,-77,-70,-72,-70,-77,-52,-73,-76,-77,-77,-78,-81,-70,-81
-65,-78,-77,-71,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70,-81
-65,-78,-77,-71,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70,-81
-65,-78,-77,-71,-72,-70,-77,-52,-75,-77,-77,-77,-78,-84,-70,-89
-65,-78,-77,-71,-72,-70,-77,-52,-74,-78,-77,-77,-78,-83,-70,-89
-65,-78,-77,-71,-72,-70,-77,-52,-75,-78,-76,-77,-78,-83,-70,-89
-65,-78,-77,-70,-72,-70,-77,-52,-75,-78,-77,-77,-78,-82,-70,-89
-65,-78,-77,-70,-72,-70,-77,-52,-74,-78,-75,-77,-78,-82,-70,-89
-65,-78,-77,-72,-72,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70,-89
-65,-78,-77,-72,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70,-89
-65,-78,-77,-72,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70,-89
-65,-78,-77,-72,-72,-70,-77,-55,-74,-76,-77,-76,-78,-81,-70,-89
-65,-78,-77,-72,-71,-70,-77,-59,-73,-77,-77,-75,-78,-81,-70,-89
-65,-78,-77,-72,-71,-70,-77,-55,-73,-78,-77,-79,-78,-81,-70,-89
-65,-78,-78,-72,-71,-70,-77,-53,-74,-78,-77,-79,-78,-81,-70,-89
-65,-78,-78,-72,-72,-70,-77,-53,-73,-78,-77,-78,-78,-81,-70,-89
-65,-78,-78,-72,-71,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70,-89
-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70,-89
-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-77,-76,-78,-81,-70,-89
-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70,-89
-65,-78,-78,-71,-71,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70,-89
-65,-78,-78,-71,-71,-70,-77,-52,-74,-77,-76,-77,-78,-80,-70,-89
-65,-78,-78,-71,-71,-70,-75,-52,-74,-77,-76,-77,-78,-80,-70,-89
-65,-78,-78,-71,-71,-70,-76,-52,-74,-76,-75,-76,-78,-80,-70,-89
-65,-78,-78,-71,-71,-71,-76,-52,-74,-77,-76,-75,-78,-80,-70,-89
-65,-78,-78,-71,-71,-72,-76,-52,-74,-77,-77,-75,-78,-80,-70,-89
-65,-78,-78,-71,-71,-72,-76,-52,-73,-77,-77,-76,-78,-80,-70,-89
-65,-78,-78,-71,-71,-72,-76,-52,-73,-76,-76,-76,-78,-80,-70,-89
-65,-78,-78,-71,-71,-72,-76,-52,-73,-77,-76,-75,-78,-80,-70,-89
-65,-78,-78,-71,-70,-72,-76,-52,-73,-76,-76,-75,-78,-80,-70,-89
-65,-78,-78,-71,-70,-72,-76,-52,-76,-77,-76,-76,-78,-80,-70,-89
-65,-78,-78,-71,-70,-71,-76,-52,-74,-76,-76,-76,-78,-80,-70,-89
-65,-78,-78,-70,-70,-71,-76,-52,-75,-77,-76,-77,-78,-80,-70,-89
-65,-78,-78,-70,-70,-71,-77,-52,-75,-78,-77,-76,-78,-79,-70,-89
-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-76,-76,-78,-79,-70,-89
-65,-78,-78,-70,-71,-71,-77,-52,-74,-78,-76,-76,-78,-79,-70,-89
-65,-78,-78,-70,-71,-70,-77,-52,-74,-77,-76,-77,-78,-79,-70,-89
-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-76,-77,-78,-79,-70,-89
-65,-78,-78,-72,-70,-71,-77,-52,-73,-78,-76,-76,-78,-79,-70,-89
-65,-78,-78,-72,-72,-71,-77,-52,-73,-78,-77,-75,-78,-79,-70,-89
-65,-78,-78,-71,-72,-71,-77,-52,-73,-78,-77,-75,-78,-79,-70,-89
-65,-78,-78,-71,-72,-71,-77,-52,-73,-78,-77,-74,-78,-79,-70,-89
-65,-78,-78,-71,-72,-71,-77,-52,-74,-78,-77,-76,-78,-79,-70,-89
-65,-78,-78,-70,-72,-71,-77,-52,-73,-78,-77,-79,-78,-79,-70,-89
-65,-78,-78,-70,-72,-71,-77,-52,-73,-78,-76,-78,-78,-79,-70,-89
